time,delta_T,dt,num_li,num_nli,temp_1,temp_2
0,0,0,0,0,0,0
50000000000,4.9604905838895,50000000000,3,3,24.920802925124,29.881293509014
100000000000,4.986880916999,50000000000,3,3,24.997364847858,29.984245764857
150000000000,5.2583144989172,50000000000,3,3,25.526379909801,30.784694408718
200000000000,6.7586524107757,50000000000,4,4,28.937529430497,35.696181841273
250000000000,10.442986343668,50000000000,4,4,42.805707580344,53.248693924012
300000000000,13.553000499593,50000000000,4,4,67.184843675951,80.737844175544
350000000000,14.666247784188,50000000000,5,5,87.771244102603,102.43749188679
400000000000,14.672602483818,50000000000,4,4,97.176420204455,111.84902268827
